query_id,raw_query,corrected_query,frequency,event,category,clicked_product_ids
Q000001,samsung,samsung,1460,view_details,Electronics,"P12857, P10383, P11555, P14835, P13550, P14120"
Q000002,apple,apple,565,click,Electronics,"P10573, P13352"
Q000003,nike,nike,911,search,Fashion,"P14427, P13719"
Q000004,adidas,adidas,748,view_details,Fashion,"P12110, P14658, P11264, P11382, P10320, P13697, P12032"
Q000005,sony,sony,1914,search,Electronics,"P13218, P11044, P10309, P11074, P11038, P14798"
Q000006,oneplus,oneplus,1124,add_to_cart,Electronics,"P13032, P10784, P11585, P10582, P14911"
Q000007,xiaomi,xiaomi,1115,search,Electronics,"P14307, P12532, P13942, P10344, P13854"
Q000008,vivo,vivo,822,search,Electronics,"P11970, P10149, P11497, P10703, P12919, P13309, P10245, P10855"
Q000009,oppo,oppo,1205,search,Electronics,"P13870, P13312, P12770, P14993, P14175"
Q000010,realme,realme,1946,click,Electronics,"P13283, P11314, P10554, P10356, P12579, P11299, P10251, P13546"
Q000011,dell,dell,725,click,Electronics,P13429
Q000012,hp,hp,616,search,Electronics,"P10847, P11595, P14506, P13621, P11998, P12349, P11843"
Q000013,lenovo,lenovo,724,click,Electronics,"P10635, P10760, P10169, P11024, P11872, P12555, P13589, P13750"
Q000014,asus,asus,1881,search,Electronics,"P13849, P11111, P14686, P10411, P11336"
Q000015,lg,lg,678,add_to_cart,Electronics,"P11774, P14641"
Q000016,boat,boat,590,click,Electronics,"P13649, P11094, P14627, P14912"
Q000017,jbl,jbl,1731,view_details,Electronics,"P13221, P12044, P11362, P11220, P10827, P10409, P14298, P10719"
Q000018,puma,puma,519,click,Fashion,"P12149, P10367, P14874, P11752, P10180"
Q000019,reebok,reebok,506,search,Fashion,"P14464, P11420, P13953, P11060, P10668"
Q000020,bata,bata,1247,click,Fashion,"P13177, P11971, P12394, P13258, P11435"
Q000021,zara,zara,923,search,Fashion,"P10738, P12087, P11283, P12878, P12474, P13165, P11994, P11892"
Q000022,hm,hm,1781,search,Fashion,"P13861, P11743, P10541"
Q000023,levis,levis,1400,add_to_cart,Fashion,"P13550, P14658, P13192, P13156, P10779, P12340"
Q000024,ikea,ikea,599,click,Fashion,"P13201, P10906, P12111, P11348, P13215, P13396"
Q000025,prestige,prestige,1851,search,Fashion,P12574
Q000026,samsng,samsung,241,view_details,Electronics,"P10069, P11701, P11805"
Q000027,aple,apple,194,click,Electronics,P10129
Q000028,nkie,nike,180,click,Fashion,"P14826, P13314, P10929, P12711"
Q000029,addidas,adidas,221,search,Fashion,"P11829, P12159, P11039, P14519, P14327"
Q000030,soney,sony,147,view_details,Electronics,"P14176, P12526"
Q000031,onepls,oneplus,222,search,Electronics,"P14794, P14133, P11433"
Q000032,xiomi,xiaomi,288,search,Electronics,P14019
Q000033,vvo,vivo,218,click,Electronics,"P10946, P10652, P13390, P12343, P14349, P14226, P13984, P14503"
Q000034,opo,oppo,80,search,Electronics,"P11851, P13990, P11861, P11490"
Q000035,realmi,realme,246,search,Electronics,"P12935, P11721, P12716"
Q000036,del,dell,172,view_details,Electronics,"P12585, P12304, P10051, P11423, P13826, P14366, P13372"
Q000037,lenvo,lenovo,82,click,Electronics,"P13410, P10340, P14046, P12261, P10605, P13425"
Q000038,asuss,asus,233,view_details,Electronics,"P10622, P11882"
Q000039,bot,boat,204,add_to_cart,Electronics,"P14614, P14242, P12246, P10729, P14542, P12761, P13012"
Q000040,jb,jbl,95,click,Electronics,"P10807, P14003, P12805, P10462"
Q000041,pma,puma,282,search,Fashion,P14755
Q000042,rebbok,reebok,248,view_details,Fashion,"P12115, P14579"
Q000043,zarra,zara,189,click,Fashion,P10611
Q000044,levis,levis,182,view_details,Fashion,"P11662, P12370, P14864, P11957, P14350"
Q000045,ikia,ikea,104,click,Fashion,"P10655, P11912, P12065, P12449, P11980, P14626, P10953, P12798"
Q000046,prestig,prestige,85,search,Fashion,"P13346, P14087, P12888, P11913"
Q000047,h p,hp,83,search,Electronics,"P13583, P12500, P12610, P13916, P12916"
Q000048,l g,lg,217,search,Electronics,"P11298, P10984, P11597, P11728, P14542, P13949, P13309"
Q000049,bta,bata,198,search,Fashion,P12525
Q000050,h m,hm,299,click,Fashion,"P14294, P12037, P10426, P10918, P14922, P10791"
Q000051,smartphone,smartphone,1384,click,Electronics,"P12429, P13582, P11842, P11023, P11509, P10524, P11226"
Q000052,mobile phone,mobile phone,811,view_details,Electronics,"P10661, P10009, P10404, P13237"
Q000053,laptop,laptop,1300,search,Electronics,"P14803, P12574, P10952"
Q000054,notebook,notebook,905,click,Electronics,"P14997, P10106, P14857, P11457, P10556"
Q000055,headphones,headphones,1160,click,Electronics,P10508
Q000056,earbuds,earbuds,458,search,Electronics,"P12006, P11060"
Q000057,tv,tv,652,view_details,Electronics,"P10603, P10847, P11222, P14820"
Q000058,television,television,647,search,Electronics,"P13793, P11387, P13806, P10105, P10108"
Q000059,shoes,shoes,349,search,Fashion,"P14154, P12929"
Q000060,sneakers,sneakers,1244,search,Fashion,"P12978, P10213, P12972"
Q000061,jeans,jeans,409,search,Fashion,P11803
Q000062,t shirt,t shirt,1226,view_details,Fashion,"P14198, P12624, P12985, P12967, P10193, P11468"
Q000063,shirt,shirt,719,search,Fashion,"P13566, P10272, P12522, P10837"
Q000064,hoodie,hoodie,449,click,Fashion,P12007
Q000065,watch,watch,1300,search,Fashion,"P10338, P14605, P13506, P10403, P10397"
Q000066,smartwatch,smartwatch,432,add_to_cart,Fashion,"P11009, P11132, P13168, P13459, P12192, P14874"
Q000067,tablet,tablet,1279,search,Electronics,"P12489, P11815, P13953, P13144, P10951"
Q000068,camera,camera,962,search,Electronics,"P12977, P14648, P12278"
Q000069,speaker,speaker,1254,click,Electronics,"P14365, P13631, P14808"
Q000070,keyboard,keyboard,1112,click,Electronics,"P12203, P14281"
Q000071,mouse,mouse,674,view_details,Electronics,"P12440, P10769, P13060, P13988"
Q000072,charger,charger,1354,search,Electronics,"P11145, P14837"
Q000073,case,case,741,search,Fashion,"P14557, P12197, P14011, P10900, P13173, P14024, P10849"
Q000074,bag,bag,1199,click,Fashion,P13697
Q000075,wallet,wallet,1074,search,Fashion,"P10628, P14719, P11459, P10849, P14401, P10480"
Q000076,smartphon,smartphone,333,search,Electronics,"P14753, P14844, P13570, P14774"
Q000077,mobil phone,mobile phone,264,view_details,Electronics,"P10974, P13652, P13569, P14739, P11614, P12104, P11778, P10919"
Q000078,laptap,laptop,275,add_to_cart,Electronics,"P11167, P11840, P10261, P11646, P13039, P11257"
Q000079,headphons,headphones,284,add_to_cart,Electronics,P11522
Q000080,earbuds,earbuds,192,add_to_cart,Electronics,"P14125, P13528, P14962, P13126, P13329"
Q000081,televisn,television,312,search,Electronics,"P14066, P11602, P12551, P13431, P11169, P11915"
Q000082,sneakrs,sneakers,282,add_to_cart,Fashion,"P13245, P14328"
Q000083,smartwach,smartwatch,200,click,Fashion,"P12360, P10800, P14783"
Q000084,tablit,tablet,310,search,Electronics,"P11742, P11121, P14571, P12286"
Q000085,camra,camera,182,search,Electronics,"P14932, P12107, P11175, P11993"
Q000086,speakr,speaker,179,search,Electronics,P11720
Q000087,keybord,keyboard,251,add_to_cart,Electronics,"P12668, P13338, P12254, P10735, P14428, P11018, P13147"
Q000088,chargr,charger,209,search,Electronics,"P10041, P14870, P11353, P13701"
Q000089,hoodi,hoodie,318,search,Fashion,"P14353, P14885, P10665, P10353, P10084, P14586, P13805"
Q000090,jens,jeans,152,click,Fashion,"P12107, P11093, P14739"
Q000091,notbook,notebook,222,search,Electronics,P13107
Q000092,shoos,shoes,95,click,Fashion,"P14007, P13706, P11834, P14899, P11453, P11827, P11496"
Q000093,wach,watch,113,click,Fashion,"P11012, P11372"
Q000094,shrt,shirt,349,search,Fashion,"P11970, P10758, P13636, P12310"
Q000095,walet,wallet,386,view_details,Fashion,"P13996, P10597"
Q000096,mous,mouse,114,search,Electronics,"P10363, P13334"
Q000097,cas,case,264,view_details,Fashion,"P12477, P12789, P14533, P10329, P14984, P13854, P12456, P10690"
Q000098,bg,bag,399,search,Fashion,"P14999, P11436, P13677, P11858, P10196"
Q000099,watch under 10000,watch under 10000,208,search,Electronics,"P14786, P11720, P10943, P12350, P11034, P13366"
Q000100,earbuds above 20000,earbuds above 20000,545,view_details,Electronics,"P10848, P14530, P10772"
Q000101,tv between 10000 and 20000,tv between 10000 and 20000,967,click,Electronics,"P13810, P14212, P12909, P14506, P10046, P10294"
Q000102,earbuds below 20000,earbuds below 20000,590,add_to_cart,Electronics,"P13707, P14594, P10130, P13602, P11676, P14979, P12775"
Q000103,mobile under 50000,mobile under 50000,579,view_details,Electronics,"P11838, P14433, P10788"
Q000104,sneakers under 20000,sneakers under 20000,523,click,Fashion,"P14062, P14441, P12176, P10412, P10913, P13263, P14583, P14118"
Q000105,mobile between 10000 and 20000,mobile between 10000 and 20000,442,search,Electronics,"P11181, P13660, P12537, P14405, P12917, P13119, P10657, P11807"
Q000106,sneakers above 20000,sneakers above 20000,947,click,Fashion,"P13372, P11443, P14601"
Q000107,watch under 15000,watch under 15000,261,search,Electronics,"P12308, P14416, P13823, P13215, P11075"
Q000108,headphones below 5000,headphones below 5000,624,search,Electronics,"P10614, P10680, P11232"
Q000109,headphones above 10000,headphones above 10000,732,search,Electronics,"P14826, P10084, P10815, P11094, P13314, P10089"
Q000110,earbuds above 10000,earbuds above 10000,805,search,Electronics,"P11293, P12203, P14523, P12370"
Q000111,tv below 20000,tv below 20000,462,view_details,Electronics,"P12091, P14081"
Q000112,laptop below 10000,laptop below 10000,536,search,Electronics,"P13255, P13066, P10454"
Q000113,earbuds under 30000,earbuds under 30000,891,search,Electronics,"P11639, P14039, P14960"
Q000114,tv below 5000,tv below 5000,849,click,Electronics,"P13049, P14031, P14236, P11479"
Q000115,laptop under 20000,laptop under 20000,511,search,Electronics,"P14581, P11590"
Q000116,shoes above 10000,shoes above 10000,604,click,Fashion,"P10670, P10608, P10747, P13368, P14332"
Q000117,laptop under 15000,laptop under 15000,671,search,Electronics,P14630
Q000118,earbuds below 10000,earbuds below 10000,596,search,Electronics,"P10625, P13539, P14176, P10418, P12450, P10183"
Q000119,mobile below 20000,mobile below 20000,915,search,Electronics,"P11310, P14012, P13699"
Q000120,headphones under 5000,headphones under 5000,559,view_details,Electronics,"P13568, P12044, P12340, P12888, P11884, P10256, P10075"
Q000121,headphones under 5000,headphones under 5000,737,view_details,Electronics,"P10374, P11801, P11007, P14673, P12313, P10871, P13116, P12474"
Q000122,mobile under 5000,mobile under 5000,793,view_details,Electronics,"P12129, P11598, P11863, P12677, P14500"
Q000123,mobile under 20000,mobile under 20000,510,view_details,Electronics,"P11525, P12464, P13529, P13605, P10475"
Q000124,computer under 30000,computer under 30000,346,view_details,Electronics,"P12566, P10096, P12250, P11938, P13999"
Q000125,watch below 5000,watch below 5000,629,search,Electronics,"P10566, P11034, P12684, P13248, P14716, P14467, P10689, P10807"
Q000126,shoes under 20000,shoes under 20000,296,view_details,Fashion,"P13847, P12372, P14409, P12773, P11942"
Q000127,laptop under 10000,laptop under 10000,715,search,Electronics,"P12470, P13402, P13867"
Q000128,earbuds under 50000,earbuds under 50000,315,search,Electronics,"P14121, P14594, P10812, P11896, P12928, P12162, P11781, P11113"
Q000129,earbuds under 15000,earbuds under 15000,289,search,Electronics,"P11085, P13444"
Q000130,tv under 30000,tv under 30000,984,click,Electronics,"P10353, P13733, P12690, P13346, P14011, P12955"
Q000131,laptop under 5000,laptop under 5000,211,click,Electronics,"P13502, P14657, P10570, P11467, P10379, P10856, P11842, P12698"
Q000132,phone above 10000,phone above 10000,201,add_to_cart,Electronics,"P11317, P11174, P14684, P14163, P11173"
Q000133,watch below 20000,watch below 20000,656,add_to_cart,Electronics,"P10792, P14860, P12639, P11395, P12723, P12093, P13068"
Q000134,earbuds below 5000,earbuds below 5000,813,add_to_cart,Electronics,"P11150, P14159, P10816, P11577, P13532, P11046, P11206, P13605"
Q000135,headphones under 15000,headphones under 15000,750,add_to_cart,Electronics,"P14723, P11397, P13663, P14709, P10369, P12765, P12105, P10594"
Q000136,phone above 10000,phone above 10000,808,view_details,Electronics,"P10952, P13599, P14804, P12315"
Q000137,sneakers below 10000,sneakers below 10000,740,click,Fashion,"P11989, P14335, P11978"
Q000138,mobile between 10000 and 20000,mobile between 10000 and 20000,221,search,Electronics,"P13353, P14734, P10018, P12807"
Q000139,mobile under 5000,mobile under 5000,443,search,Electronics,"P10547, P12539, P12226, P10768"
Q000140,sneakers under 20000,sneakers under 20000,263,search,Fashion,"P13596, P12443, P13303, P12042, P14873"
Q000141,shoes below 20000,shoes below 20000,464,view_details,Fashion,"P13305, P13166, P11564, P11180, P10694"
Q000142,headphones below 5000,headphones below 5000,806,search,Electronics,"P10160, P11709, P14112, P10024, P14240, P10006, P13653"
Q000143,headphones between 10000 and 20000,headphones between 10000 and 20000,394,add_to_cart,Electronics,"P12633, P10813, P10690, P11721, P11601, P11308, P13765"
Q000144,watch below 10000,watch below 10000,327,add_to_cart,Electronics,"P14959, P13851, P13043, P10322, P10979"
Q000145,tv under 30000,tv under 30000,696,search,Electronics,"P10744, P14100, P14372"
Q000146,watch between 10000 and 20000,watch between 10000 and 20000,830,search,Electronics,"P10286, P10548, P12210, P11995, P14040, P12033, P12974, P13702"
Q000147,phone above 10000,phone above 10000,704,add_to_cart,Electronics,P10826
Q000148,shoes under 15000,shoes under 15000,919,view_details,Fashion,"P13512, P11850, P11904"
Q000149,laptop undr 20000,laptop under 20000,59,view_details,Electronics,P10212
Q000150,lptop above 10000,laptop above 10000,210,search,Electronics,"P14835, P14577, P14326"
Q000151,watch undr 20000,watch under 20000,65,search,Electronics,"P14512, P14203, P11063"
Q000152,laptop undr 20000,laptop under 20000,231,click,Electronics,"P12689, P10198, P14451, P12890, P13234, P10747"
Q000153,wtch under 10000,watch under 10000,159,search,Electronics,"P12175, P13097, P11525, P13410, P10593, P11763"
Q000154,headphones undr 20000,headphones under 20000,294,search,Electronics,"P13562, P14320"
Q000155,mobil under 5000,mobile under 5000,53,search,Electronics,P14607
Q000156,wtch below 5000,watch below 5000,142,view_details,Electronics,"P10780, P13869, P11967"
Q000157,watch abov 20000,watch above 20000,243,click,Electronics,P11307
Q000158,rbuds under 5000,earbuds under 5000,161,search,Electronics,"P12349, P13582, P11050, P12742"
Q000159,watch undr 10000,watch under 10000,207,view_details,Electronics,"P12352, P11804, P13549, P13539, P12714"
Q000160,snkrs below 5000,sneakers below 5000,245,search,Fashion,P12080
Q000161,computer abov 20000,computer above 20000,217,search,Electronics,"P13284, P14248, P10149"
Q000162,tvx under 50000,tv under 50000,58,view_details,Electronics,P13735
Q000163,shoes belo 20000,shoes below 20000,197,search,Fashion,"P10360, P10145, P14591, P13813, P11405, P11960"
Q000164,mobile undr 15000,mobile under 15000,159,search,Electronics,"P10854, P13893, P14387, P14587, P10153, P10530"
Q000165,sneakers between 10000 and 20000,sneakers between 10000 and 20000,188,view_details,Fashion,"P10630, P11431, P11238, P11115"
Q000166,lptop under 10000,laptop under 10000,106,search,Electronics,"P14933, P14539"
Q000167,snkrs above 10000,sneakers above 10000,151,search,Fashion,"P12331, P11033, P12871, P14288, P11221, P13517, P11227"
Q000168,mobil under 20000,mobile under 20000,247,search,Electronics,"P11562, P14915, P14176, P13593, P13853, P10794, P12583"
Q000169,snkrs below 10000,sneakers below 10000,132,view_details,Fashion,"P10510, P10372"
Q000170,watch undr 30000,watch under 30000,93,view_details,Electronics,"P14287, P10028"
Q000171,watch undr 15000,watch under 15000,115,search,Electronics,"P12561, P13519, P13854, P11223"
Q000172,hdphons below 20000,headphones below 20000,52,view_details,Electronics,"P12283, P10185, P14715"
Q000173,mobile belo 5000,mobile below 5000,107,click,Electronics,"P12921, P11091, P14079, P12599"
Q000174,watch abov 20000,watch above 20000,101,click,Electronics,"P13695, P10670"
Q000175,tvx under 10000,tv under 10000,61,view_details,Electronics,"P13090, P14007, P11078, P13800, P13649, P10117, P12198, P10650"
Q000176,hdphons under 15000,headphones under 15000,158,search,Electronics,"P13293, P11271, P12165, P14178, P13694, P14264"
Q000177,hdphons under 10000,headphones under 10000,221,click,Electronics,"P12918, P13887, P11348, P12898"
Q000178,snkrs below 5000,sneakers below 5000,273,search,Fashion,"P14019, P10078, P10359, P14158"
Q000179,tvx between 10000 and 20000,tv between 10000 and 20000,285,click,Electronics,"P11296, P11598"
Q000180,rbuds under 10000,earbuds under 10000,167,add_to_cart,Electronics,"P14850, P13208"
Q000181,shoes undr 50000,shoes under 50000,181,click,Fashion,"P11660, P11863, P13502, P12876, P11743, P14263, P12258"
Q000182,phone undr 15000,phone under 15000,83,view_details,Electronics,"P11922, P11978, P13153, P11327, P11698, P12322, P11458, P12869"
Q000183,shoes undr 5000,shoes under 5000,212,click,Fashion,"P14406, P14888, P13504"
Q000184,laptop abov 20000,laptop above 20000,58,search,Electronics,P13299
Q000185,mobile abov 10000,mobile above 10000,94,click,Electronics,"P11789, P11274, P12835, P12913, P13772, P11677"
Q000186,computr between 10000 and 20000,computer between 10000 and 20000,88,search,Electronics,"P10166, P13692, P14835, P11568, P13081"
Q000187,tv belo 5000,tv below 5000,76,search,Electronics,"P12673, P10329, P12947, P14781, P11324, P10336"
Q000188,wtch under 10000,watch under 10000,93,click,Electronics,"P12020, P13990, P10492, P13170"
Q000189,tvx under 50000,tv under 50000,219,click,Electronics,"P10947, P10236, P12252, P11108, P14584, P12671, P12578, P13983"
Q000190,mobil between 10000 and 20000,mobile between 10000 and 20000,138,search,Electronics,"P11643, P11225, P10981, P13285, P11217, P14604, P11457, P11740"
Q000191,lptop between 10000 and 20000,laptop between 10000 and 20000,195,search,Electronics,P11889
Q000192,shoes undr 20000,shoes under 20000,285,search,Fashion,"P10714, P12161, P11407, P11008, P11376, P11906, P13491, P12142"
Q000193,sneakers belo 5000,sneakers below 5000,188,search,Fashion,"P10475, P12319, P13017, P14533, P14883, P12050, P12738"
Q000194,shos between 10000 and 20000,shoes between 10000 and 20000,59,search,Fashion,"P14468, P12196, P11851"
Q000195,tv between 10000 and 20000,tv between 10000 and 20000,246,search,Electronics,"P13722, P10922, P13050, P12280, P10912"
Q000196,sneakers between 10000 and 20000,sneakers between 10000 and 20000,69,search,Fashion,"P10013, P12888, P12094, P10697, P11801, P12500, P12872, P11868"
Q000197,snkrs below 20000,sneakers below 20000,108,view_details,Fashion,"P11864, P11959, P12577, P13571, P13445, P13018"
